NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,country_code
NTT DATA GROUP DEAD - DELIST.26/09/25,JP3165700000,,,,,,,,,20000.0,6000.0,6000.0,6000.0,4986.0,5877.0,5907.0,8764.0,6072.0,6073.0,10547.0,8802.0,8851.0,9057.0,7241.0,24495.0,50848.0,39507.0,,JP
EBARA,JP3166000004,,,,,,,,,,,,17206.0,,,,9888.0,10543.0,,,,,179000.0,204000.0,152000.0,86000.0,71000.0,,JP
LEOPALACE21,JP3167500002,,,,,,,,,,,,,,,,,,18900.0,16469.0,15696.0,14730.0,52.18,3473.0,3284.0,3135.0,6247.0,,JP
OKUMA,JP3172100004,,,,,,,,,,,,,,,,,,,,,6800.0,6500.0,5000.0,7700.0,8600.0,7300.0,,JP
OBIC,JP3173400007,,,,,,,,,,,,,,,,,,,,307.0,282.0,300.0,166.0,156.0,217.0,218.0,,JP
OJI HOLDINGS,JP3174410005,,,,,,,6352000.0,5884000.0,5353000.0,5279000.0,4934000.0,,,,,5744000.0,6191000.0,6364000.0,6587000.0,6595000.0,6394000.0,6323000.0,6267000.0,6398000.0,6399000.0,5890000.0,5791000.0,JP
OSAKA GAS,JP3180400008,,,,,,,,,,,1986540.0,2768333.0,3599582.0,,,4003000.0,3916764.0,3857405.0,4089712.0,4888261.0,5051823.0,4659553.0,5215428.0,4526038.0,4405987.0,4441258.0,4439629.0,JP
OBAYASHI,JP3190000004,,,,,,,,175491.0,,,,114900.0,135000.0,135000.0,148500.0,145500.0,159500.0,163600.0,135600.0,151300.0,127600.0,258800.0,221200.0,146656.0,283753.0,219729.0,,JP
OKI ELECTRIC IND.,JP3194000000,,,,,,,389000.0,310000.0,,,,,,,11600.0,12100.0,12000.0,11000.0,16000.0,15300.0,10300.0,9650.0,9750.0,9730.0,8500.0,8100.0,,JP
ONO PHARM.,JP3197600004,,,,,,,,,,,,,,,21700.0,,,,,8500.0,9500.0,10100.0,10100.0,9830.0,8200.0,6700.0,,JP
