NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
MTR,HK0066009694,,,,,,,14335.0,6135.0,2149.0,21775.0,39446.0,37808.0,39543.0,53568.0,51955.0,59520.0,52796.0,53907.0,55143.0,50460.0,52672.0,47236.0,47999.0,49239.0,50366.0,60554.0,
SINO LAND,HK0083000502,,,,,,,,,,,,,,,,,,684.6,5559.43,514.4,605.9,4045.1,2906.5,3735.5,3541.5,3864.8,3055.3
HANG LUNG PROPERTIES,HK0101000591,,,,,,,,,,,,,,,,,,,,,,,2636.0,3942.0,4034.0,4292.0,
CHINA MERCHANTS PORT HOLDINGS,HK0144000764,,,,,,,,,,,,,,,,,,,26601.0,22436.0,34303.0,53880.49,61898.33,70584.0,62802.0,63676.26,
CHINA EVERBRIGHT,HK0165000859,,,,,,,,,,,,,,,,,,87.0,67.1,74.1,81.1,89.1,25.2,7.9,8.5,10.0,
MELCO INTL.DEV.,HK0200030994,,,,,,,,,,,,,,,115.15,118.42,114.15,15661.0,17309.0,21618.0,30374.0,16331.0,14842.0,17152.0,20392.0,28217.0,
SHUN TAK HOLDINGS,HK0242001243,,,,,,,,,,,,,,,,391473.0,458159.0,450871.0,449511.0,423311.0,335694.0,32002.0,5950.0,4942.0,116668.0,123514.0,
GUANGDONG INVESTMENT,HK0270001396,,,,,,,,,,,,,,,,,,,,,,3126916.51,3035668.3,2661207.32,2965066.16,2833471.11,
CHINA RESOURCES BEER HOLDINGS,HK0291001490,,,,,,,,,,,,,,,,,,475000.0,375000.0,253000.0,195000.0,147000.0,228000.0,202000.0,176549.69,167000.0,
CATHAY PACIFIC AIRWAYS,HK0293001514,,,,,,9700000.0,10200000.0,12253825.0,,14411222.0,13882506.0,15400418.0,16286705.0,16013724.0,15913517.0,16654795.0,17368305.0,17200000.0,17996912.0,18405994.0,18429615.0,7534910.0,6020691.0,5349881.0,11574068.0,14083146.0,
